"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"rho[5,3]",0.755161,1.02732,1.30571,1.029102077925,0.13923639336436,NA,0.000702183680287559,0.5,39319,0.00967498162338446,1.00251929830231
"rho[1,4]",0.724046,1.001165,1.22257,0.99323421825,0.121822766785633,NA,0.000681327597754227,0.6,31970,0.0128127578055156,1.00396537415177
"rho[2,4]",0.716315,1.003465,1.23003,0.9938650166,0.124480624668644,NA,0.00071149674212585,0.6,30610,0.00864329495678012,1.00526622077433
"rho[3,4]",0.723792,1.032035,1.32412,1.039864395275,0.154550276783731,NA,0.000875454204101058,0.6,31165,0.0103374404079875,1.00154726050625
"rho[4,4]",0.695579,1.02828,1.37596,1.0351504798,0.172593639628391,NA,0.000946985054346408,0.5,33217,0.00652153616780521,1.0047024110712
"rho[5,4]",0.75368,1.029735,1.30989,1.03457869335,0.144212617419299,NA,0.000777880894508675,0.5,34370,-0.00121734530946623,1.00210152481409
"rho[1,5]",0.754268,1.01138,1.24397,1.01073611965,0.120288882568524,NA,0.000621296756246287,0.5,37485,-0.000545640259607991,1.00321065484438
"rho[2,5]",0.763627,1.015305,1.22459,1.013617247875,0.112606858763291,NA,0.000560869923361264,0.5,40309,0.0071759762853819,1.00173499478342
"rho[3,5]",0.701316,1.025025,1.31298,1.0267919098,0.152619288812659,NA,0.000818921660019071,0.5,34732,0.0023305368979727,1.01153680929081
"rho[4,5]",0.707813,1.03336,1.38162,1.044952836175,0.177587787916211,NA,0.000965285838346453,0.5,33847,0.00332184532761368,1.00318673759184
"rho[5,5]",0.759117,1.033175,1.30392,1.0407863546,0.145940666709336,NA,0.000794289887016515,0.5,33759,-0.00403482682110878,1.0015533760465
"rho[1,6]",0.783105,1.023485,1.27984,1.02983035545,0.128107455656195,NA,0.000651679754770705,0.5,38644,0.00849477476799093,1.00235028023213
"rho[2,6]",0.779079,1.018,1.23632,1.017264210375,0.111418602386589,NA,0.000562806789071993,0.5,39192,-0.0043149877099339,1.00191166157105
"rho[3,6]",0.741265,1.038095,1.35821,1.046497543375,0.157490279244699,NA,0.00081215254091194,0.5,37604,0.0136940033308672,1.00501276171907
