,mean,sd,2.50%,50%,97.50%,Rhat,n.eff
"phiJS[5,40]",0.906547239,0.076772392,0.698493925,0.924874,0.990361025,1,74306
"phiJS[1,41]",0.898430387,0.078600354,0.686195675,0.916493,0.98905805,1,67018
"phiJS[2,41]",0.919631861,0.056842056,0.7765168,0.930894,0.990721,1,29496
"phiJS[3,41]",0.903988108,0.069190269,0.72679795,0.917904,0.98912605,1,33254
"phiJS[4,41]",0.894902387,0.089838307,0.6467437,0.9184475,0.98983005,1,29124
"phiJS[5,41]",0.910762704,0.072437393,0.716012925,0.9275665,0.99060705,1,72595
"phiJS[1,42]",0.907702801,0.071540536,0.717319925,0.923827,0.990493,1,44164
"phiJS[2,42]",0.924602371,0.053867484,0.788633775,0.9357185,0.99162,1,20212
"phiJS[3,42]",0.908886364,0.066868538,0.737525925,0.922869,0.990066,1,23261
"phiJS[4,42]",0.900343324,0.08696556,0.66105785,0.9231665,0.990971025,1,22002
"phiJS[5,42]",0.915757267,0.069108858,0.7310728,0.932024,0.991578025,1,45552
"phiJS[1,43]",0.903639636,0.073175319,0.709714975,0.919944,0.989612025,1,58440
"phiJS[2,43]",0.919363927,0.057477749,0.774170625,0.930989,0.990777,1,29698
"phiJS[3,43]",0.91075737,0.063285678,0.752113925,0.923502,0.989894025,1,20703
"phiJS[4,43]",0.890922933,0.096061523,0.621839875,0.916723,0.989897025,1,25120
"phiJS[5,43]",0.909576232,0.074189896,0.709717975,0.927138,0.99073005,1,61362
"phiJS[1,44]",0.910934988,0.065311091,0.741220875,0.924633,0.990301,1,45520
"phiJS[2,44]",0.91569504,0.060288363,0.762670925,0.927865,0.990276,1,34123
"phiJS[3,44]",0.907502734,0.065205576,0.74348985,0.920454,0.989468,1,22922
"phiJS[4,44]",0.892607048,0.092261145,0.63723255,0.916833,0.98977,1,28509
"phiJS[5,44]",0.911774053,0.070538113,0.7241968,0.927925,0.990745,1,61709
"phiJS[1,45]",0.909755672,0.064892017,0.743448975,0.92286,0.99011,1,39584
"phiJS[2,45]",0.91649452,0.058320975,0.770851,0.927893,0.990367025,1,23524
"phiJS[3,45]",0.907017639,0.064481705,0.7467715,0.9194645,0.989425025,1,17728
"phiJS[4,45]",0.891884121,0.089411942,0.648274475,0.9143595,0.989488,1,28972
"phiJS[5,45]",0.91206589,0.067557192,0.7343397,0.926703,0.990786,1,52316
"phiJS[1,46]",0.907072241,0.066572722,0.735117975,0.9202105,0.98978405,1,42407
"phiJS[2,46]",0.918670265,0.056186715,0.779964925,0.929423,0.990615025,1,19095
"phiJS[3,46]",0.905344486,0.065718439,0.741853875,0.91804,0.98914005,1,19865
"phiJS[4,46]",0.894527341,0.086051811,0.661893875,0.915641,0.989653,1,28313
"phiJS[5,46]",0.914467648,0.064739026,0.74658335,0.9281435,0.990906025,1,46484
"phiJS[1,47]",0.906271299,0.069860472,0.7221509,0.921254,0.989684025,1,52666
"phiJS[2,47]",0.92419206,0.052931737,0.7937327,0.934727,0.991205,1,18787
"phiJS[3,47]",0.908496551,0.064439904,0.745506975,0.921161,0.989582,1,22400
"phiJS[4,47]",0.902405384,0.080251236,0.68547955,0.921992,0.990345,1,25052
"phiJS[5,47]",0.916113247,0.065433468,0.743079875,0.930546,0.991226,1,50306
"phiJS[1,48]",0.904061541,0.072431887,0.711446975,0.9203345,0.989429025,1,61957
"phiJS[2,48]",0.926944154,0.05096741,0.80132255,0.937048,0.991486,1,19444
"phiJS[3,48]",0.914101518,0.06010313,0.763273775,0.9260325,0.99011205,1,19587
"phiJS[4,48]",0.905949712,0.077594196,0.695840775,0.925148,0.990698,1,25293
"phiJS[5,48]",0.914512944,0.068617309,0.732214875,0.9304035,0.991058,1,63095
"phiJS[1,49]",0.904873511,0.071520425,0.71476975,0.92057,0.989528,1,59843
"phiJS[2,49]",0.922075486,0.054218189,0.786819675,0.932647,0.99094,1,26938
"phiJS[3,49]",0.912744978,0.060585995,0.761609,0.9244785,0.989882,1,20928
"phiJS[4,49]",0.90011169,0.084348005,0.668900925,0.9215195,0.990253,1,26689
"phiJS[5,49]",0.911313344,0.071586983,0.718551575,0.927911,0.990796,1,72310
"phiJS[1,50]",0.910843186,0.066245376,0.737621975,0.9250655,0.990283025,1,50022
"phiJS[2,50]",0.921234067,0.055265949,0.781408975,0.932259,0.990935,1,30074
"phiJS[3,50]",0.894345453,0.07868258,0.687122,0.9112875,0.988379025,1,41417
"phiJS[4,50]",0.902932988,0.081858319,0.68084055,0.923867,0.990521,1,24293
"phiJS[5,50]",0.914475881,0.068468978,0.732140825,0.9304045,0.991085025,1,57757
"phiJS[1,51]",0.912616134,0.063288251,0.7489378,0.925603,0.990453,1,43918
"phiJS[2,51]",0.922699769,0.053653001,0.78842735,0.933266,0.990826,1,23868
"phiJS[3,51]",0.898317227,0.073595248,0.707749975,0.9133095,0.988630025,1,39982
"phiJS[4,51]",0.905004405,0.077360317,0.696449725,0.923847,0.990572,1,27044
"phiJS[5,51]",0.916315455,0.065352283,0.74425375,0.930822,0.991162,1,57308
"phiJS[1,52]",0.89979323,0.074898428,0.700841975,0.916298,0.989265025,1,53596
"phiJS[2,52]",0.918225323,0.056747023,0.775855825,0.9292725,0.990493,1,27630
"phiJS[3,52]",0.899767654,0.071036009,0.717863675,0.9137575,0.988651,1,31374
"phiJS[4,52]",0.905193962,0.075616493,0.70276085,0.923227,0.99039,1,24652
"phiJS[5,52]",0.919424215,0.060524358,0.762499975,0.932184,0.991381,1,44093
"phiJS[1,53]",0.911686825,0.065397965,0.73974495,0.9257735,0.990271025,1,49962
"phiJS[2,53]",0.927665352,0.049735636,0.804347,0.937409,0.991409,1,20228
"phiJS[3,53]",0.910905352,0.063066873,0.750106975,0.923524,0.989804,1,24906
"phiJS[4,53]",0.911601728,0.071187883,0.721397825,0.928874,0.990953,1,21798
"phiJS[5,53]",0.922960856,0.058994848,0.768448725,0.936019,0.991776,1,44570
"phiJS[1,54]",0.889755924,0.08553669,0.6548529,0.9099665,0.988085,1,57609
"phiJS[2,54]",0.917907346,0.05628496,0.776297625,0.928552,0.990237025,1,35019
"phiJS[3,54]",0.897768899,0.072151489,0.712471975,0.911966,0.988317025,1,41652
"phiJS[4,54]",0.904295003,0.076900409,0.697604925,0.922845,0.990276,1,24995
"phiJS[5,54]",0.919837624,0.059673869,0.76435075,0.932275,0.991166,1,49066
"phiJS[1,55]",0.887759719,0.088029224,0.64543055,0.908891,0.98803405,1,52373
"phiJS[2,55]",0.921641451,0.05340687,0.78900095,0.9316875,0.990679025,1,26297
"phiJS[3,55]",0.891421254,0.078061522,0.687668675,0.9072465,0.987862025,1,46700
"phiJS[4,55]",0.900274892,0.081949685,0.6778809,0.920666,0.990217,1,24630
"phiJS[5,55]",0.915702059,0.064012654,0.747467725,0.9295305,0.991095,1,51928
"phiJS[1,56]",0.868485396,0.105348097,0.5738227,0.8961415,0.986227,1,37250
"phiJS[2,56]",0.918656556,0.055041397,0.782605975,0.928933,0.990455,1,26079
"phiJS[3,56]",0.89716137,0.0718515,0.7144379,0.91108,0.988495,1,30209
"phiJS[4,56]",0.899483054,0.080386434,0.68397255,0.9188325,0.990018,1,26097
"phiJS[5,56]",0.898536985,0.080063398,0.681183,0.917512,0.989588025,1,75589
"phiJS[1,57]",0.881619561,0.09217983,0.628607675,0.9038915,0.987503025,1,57419
"phiJS[2,57]",0.921693199,0.052580284,0.79296495,0.931594,0.990777025,1,18485
"phiJS[3,57]",0.890937349,0.076692325,0.6942498,0.905971,0.987982,1,37504
"phiJS[4,57]",0.901747924,0.07766083,0.6935195,0.919998,0.99021805,1,24028
"phiJS[5,57]",0.879848995,0.099570828,0.600117775,0.90655,0.987865,1,55479
"phiJS[1,58]",0.882643318,0.089031863,0.645164625,0.903335,0.987898,1,20949
