Campanha	Parcela	Armadilha	Ponto_filtro	Ponto	MSFA_s	MSFB_s	MSFC_s	Massa	ChAb	ChAb	ChAb	Chao	CeFch	CeFch	CeFch	Ceu	CntCau	CntCau	CntCau	Caules	BurCh	Cupim	Distancia	Circunferencia	Tronco
48	BM	31	0	BM0	2.8	7.6	23.5	11.3	23	12	23	19.33333333	3	0	0	1	30	17	25	24	0	3	3.1	40	5
48	BM	32	1	BM1	10.9	14.9	3.8	9.866666667	24	18	24	22	0	0	0	0	19	18	25	20.66666667	0	1	2.5	28	3
48	BM	33	1	BM1	21.9	30.1	15.7	22.56666667	24	17	7	16	0	0	3	1	13	14	13	13.33333333	1	5	5.8	44	6
48	BM	34	2	BM2	41.3	9.6	4.2	18.36666667	20	21	24	21.66666667	0	1	0	0.333333333	32	15	10	19	2	4	2.3	28	5
48	BM	35	2	BM2	77.2	4.3	12.9	31.46666667	18	22	5	15	0	0	1	0.333333333	21	10	21	17.33333333	0	0	3	28	1
48	BM	36	3	BM3	17.1	25.6	38.3	27	22	16	10	16	4	0	2	2	28	27	25	26.66666667	0	1	2.5	53	1
48	BM	37	3	BM3	53.7	12.7	15.1	27.16666667	17	14	21	17.33333333	1	0	0	0.333333333	18	22	21	20.33333333	0	2	1.8	46	4
48	BM	38	4	BM4	4.6	33.9	44.7	27.73333333	20	24	18	20.66666667	0	0	0	0	21	14	16	17	1	1	4.6	24	3
48	BM	39	4	BM4	35.6	29.2	32.8	32.53333333	16	24	24	21.33333333	0	0	1	0.333333333	21	27	26	24.66666667	1	3	3.3	39	4
48	BM	40	0	BM0	44.9	45.8	17.3	36	19	24	18	20.33333333	0	0	0	0	20	12	11	14.33333333	0	2	1	42	1
48	C	41	0	C0	78.9	168.3	97	114.7333333	13	4	24	13.66666667	2	0	0	0.666666667	9	13	12	11.33333333	1	3	1.4	20	1
48	C	42	1	C1	268.1	136.4	297.5	234	22	0	25	15.66666667	0	4	0	1.333333333	20	9	32	20.33333333	1	4	4.75	24	5
48	C	43	1	C1	163.9	166	334.4	221.4333333	23	0	2	8.333333333	3	8	18	9.666666667	10	15	13	12.66666667	2	2	1.75	23	4
48	C	44	2	C2	171.3	294.6	325.8	263.9	18	14	6	12.66666667	0	12	6	6	17	5	8	10	0	2	2	23	4
48	C	45	2	C2	75.8	85.8	122.2	94.6	3	13	0	5.333333333	25	14	9	16	13	12	21	15.33333333	0	3	2.5	38	2
48	C	46	3	C3	280.1	255.8	74.7	203.5333333	19	18	17	18	0	1	0	0.333333333	14	11	9	11.33333333	2	6	2.65	24	1
48	C	47	3	C3	237.4	209.3	246.7	231.1333333	6	25	10	13.66666667	0	3	4	2.333333333	11	9	12	10.66666667	3	1	3.3	34	1
48	C	48	4	C4	108	158.3	178.3	148.2	0	1	1	0.666666667	6	5	24	11.66666667	10	11	7	9.333333333	1	5	0.95	27	4
48	C	49	4	C4	216	202	257.6	225.2	4	16	9	9.666666667	2	14	2	6	15	11	7	11	0	2	1.7	20	1
48	C	50	0	C0	172.1	318.5	169.3	219.9666667	0	4	1	1.666666667	5	1	5	3.666666667	19	11	10	13.33333333	1	1	0.45	38	1
49	BT	1	0	BT0	25.9	4	19.3	16.4	2	16	13	10.33333333	0	2	0	0.666666667	15	27	30	24	0	1	11.96	57	0
49	BT	2	1	BT1	9.8	16	7.2	11	2	13	9	8	0	0	0	0	10	15	5	10	0	1	8.69	32	1
49	BT	3	1	BT1	16.8	5.6	3.5	8.633333333	2	14	15	10.33333333	0	0	0	0	11	12	26	16.33333333	0	1	6.09	26	2
49	BT	4	2	BT2	26.4	12.9	1.6	13.63333333	15	24	20	19.66666667	0	0	0	0	16	29	20	21.66666667	0	0	5.9	31	4
49	BT	5	2	BT2	8	1.6	20.4	10	15	8	19	14	0	0	0	0	19	17	10	15.33333333	1	1	4.55	23	2
49	BT	6	3	BT3	63.2	13.7	3.5	26.8	7	14	2	7.666666667	6	0	0	2	22	29	22	24.33333333	0	0	5.35	27	2
49	BT	7	3	BT3	10	21.5	7.6	13.03333333	0	13	19	10.66666667	0	12	0	4	13	18	9	13.33333333	1	3	3.7	36	1
49	BT	8	4	BT4	31.3	13.3	7.5	17.36666667	19	3	18	13.33333333	0	0	0	0	22	5	24	17	0	1	3.2	22	2
49	BT	9	4	BT4	4.8	17.7	7.3	9.933333333	13	3	15	10.33333333	0	1	0	0.333333333	8	20	10	12.66666667	0	1	8.75	34	2
49	BT	10	0	BT0	10.6	39.6	3.8	18	17	21	9	15.66666667	0	0	0	0	29	22	19	23.33333333	0	1	14.45	27	3
49	Q	11	0	Q0	42.3	48.1	30.4	40.26666667	1	6	9	5.333333333	0	0	0	0	18	27	7	17.33333333	0	0	1.1	37	8
49	Q	12	1	Q1	51.3	24	34.5	36.6	7	19	17	14.33333333	0	4	0	1.333333333	18	8	23	16.33333333	0	2	4.35	26	6
49	Q	13	1	Q1	131.7	25.1	95.1	83.96666667	13	3	9	8.333333333	0	0	3	1	13	27	32	24	0	1	3.95	27	7
49	Q	14	2	Q2	94.4	67.4	95.4	85.73333333	3	0	5	2.666666667	0	0	0	0	26	21	23	23.33333333	0	2	2.7	55	4
49	Q	15	2	Q2	38.8	135.9	84.6	86.43333333	7	11	0	6	0	0	0	0	15	28	26	23	1	0	1.8	35	2
49	Q	16	3	Q3	37.3	42.6	67.5	49.13333333	21	3	21	15	0	0	0	0	11	18	18	15.66666667	1	1	1.86	23	4
49	Q	17	3	Q3	26.8	70.6	129.7	75.7	8	2	14	8	8	0	0	2.666666667	19	15	26	20	1	0	2.9	33	6
49	Q	18	4	Q4	36	59.9	52.6	49.5	11	18	8	12.33333333	0	0	0	0	30	20	35	28.33333333	0	0	2.57	34	4
49	Q	19	4	Q4	98.8	43.5	44.7	62.33333333	0	10	3	4.333333333	2	0	0	0.666666667	27	19	37	27.66666667	1	1	5.9	32	9
49	Q	20	0	Q0	108.2	69.1	14.5	63.93333333	3	17	4	8	0	0	2	0.666666667	36	17	15	22.66666667	0	1	1.68	21	9
49	BP	21	0	BP0	88.3	63	113.9	88.4	6	11	0	5.666666667	2	0	20	7.333333333	30	25	18	24.33333333	0	2	2.65	26	3
49	BP	22	1	BP1	25.1	152	39.1	72.06666667	1	12	0	4.333333333	0	4	5	3	20	23	15	19.33333333	0	1	3.9	30	3
49	BP	23	1	BP1	48.7	140	99.5	96.06666667	0	0	3	1	1	0	0	0.333333333	8	16	26	16.66666667	1	2	1.08	32	2
49	BP	24	2	BP2	72.3	122.2	66.6	87.03333333	5	1	1	2.333333333	1	0	4	1.666666667	8	24	16	16	0	1	5.2	37	0
49	BP	25	2	BP2	68.6	298.1	102.9	156.5333333	0	4	23	9	0	9	9	6	7	23	12	14	0	1	2.8	21	2
49	BP	26	3	BP3	73.5	91.3	95	86.6	16	4	13	11	1	0	0	0.333333333	18	14	22	18	0	0	2.9	21	3
49	BP	27	3	BP3	86.8	131	113.7	110.5	21	5	12	12.66666667	0	0	1	0.333333333	10	23	21	18	0	0	3.5	29	0
49	BP	28	4	BP4	118.5	95.4	46	86.63333333	20	3	12	11.66666667	4	3	2	3	13	9	22	14.66666667	0	3	3.7	36	0
49	BP	29	4	BP4	162.2	121.7	51.9	111.9333333	16	1	9	8.666666667	7	0	3	3.333333333	8	8	14	10	1	2	3.07	23	0
49	BP	30	0	BP0	72.9	244.2	26.8	114.6333333	3	1	23	9	2	6	2	3.333333333	14	17	14	15	2	2	0.68	41	6
49	BM	31	0	BM0	3.6	23.9	52.4	26.63333333	23	20	10	17.66666667	0	13	0	4.333333333	23	32	19	24.66666667	0	4	3.3	40	6
49	BM	32	1	BM1	19.3	52.3	29.5	33.7	5	20	20	15	0	0	0	0	14	29	34	25.66666667	2	0	5.2	37	1
49	BM	33	1	BM1	16.4	62.2	22.2	33.6	10	22	19	17	0	0	0	0	23	22	26	23.66666667	1	5	5.6	26	5
49	BM	34	2	BM2	40	40.5	24	34.83333333	14	12	13	13	1	0	1	0.666666667	34	37	31	34	3	4	2.3	27	1
49	BM	35	2	BM2	22.2	34.7	25.3	27.4	10	12	5	9	0	0	0	0	10	11	24	15	0	1	2.98	31	1
49	BM	36	3	BM3	15.4	15.8	29.7	20.3	11	10	9	10	0	0	0	0	18	17	22	19	0	1	2.75	54	1
49	BM	37	3	BM3	15.1	76.9	35.8	42.6	3	7	7	5.666666667	0	0	4	1.333333333	23	17	26	22	0	1	1.6	45	3
49	BM	38	4	BM4	31.6	48.8	10	30.13333333	2	6	10	6	0	0	0	0	17	24	10	17	2	1	7.65	45	2
49	BM	39	4	BM4	58.5	56.4	38.5	51.13333333	9	0	16	8.333333333	6	0	0	2	32	34	17	27.66666667	2	1	3.25	42	2
49	BM	40	0	BM0	34.3	46	11.2	30.5	11	20	4	11.66666667	1	0	5	2	23	12	20	18.33333333	0	1	1.1	42	3
49	C	41	0	C0	69.9	80.1	31.5	60.5	20	0	0	6.666666667	3	6	3	4	6	6	6	6	3	4	1.5	20	0
49	C	42	1	C1	118.9	168.2	150.8	145.9666667	2	0	7	3	2	5	0	2.333333333	12	17	14	14.33333333	2	4	4.55	25	7
49	C	43	1	C1	94.7	83.5	187.7	121.9666667	7	8	0	5	9	10	11	10	14	10	5	9.666666667	0	0	1.3	25	10
49	C	44	2	C2	27.7	194.7	226.3	149.5666667	24	11	8	14.33333333	0	1	3	1.333333333	11	6	12	9.666666667	2	2	2.5	30	12
49	C	45	2	C2	108.2	179.8	205	164.3333333	1	0	1	0.666666667	19	2	25	15.33333333	21	23	18	20.66666667	0	3	2.15	23	4
49	C	46	3	C3	114.1	183.6	237.7	178.4666667	4	9	0	4.333333333	0	0	2	0.666666667	14	9	28	17	0	6	2.75	28	4
49	C	47	3	C3	239.4	184.2	94.8	172.8	0	2	6	2.666666667	1	0	20	7	15	10	12	12.33333333	3	3	2.95	23	10
49	C	48	4	C4	186.5	131.9	160.7	159.7	0	0	0	0	24	4	16	14.66666667	7	11	15	11	0	4	1.18	33	3
